FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CBBTCUSD,"Coinbase Bitcoin, U.S. Dollars, Daily, Not Seasonally Adjusted"
,
"Frequency: Daily, 7-Day",
observation_date,CBBTCUSD
13/11/17,6535.87
14/11/17,6605
15/11/17,7294
16/11/17,7838.53
17/11/17,7714.71
18/11/17,7777.01
19/11/17,8031.82
20/11/17,8256.01
21/11/17,8109
22/11/17,8250
23/11/17,8031.16
24/11/17,8215.01
25/11/17,8795.5
26/11/17,9401.11
27/11/17,9768.71
28/11/17,9949
29/11/17,9935.98
30/11/17,9903
1/12/17,10869.84
2/12/17,10930.24
3/12/17,11290
4/12/17,11643.98
5/12/17,11718.35
6/12/17,14090
7/12/17,17390.01
8/12/17,16367.03
9/12/17,15309.98
10/12/17,15290.01
11/12/17,16885.76
12/12/17,17730.12
13/12/17,16689.61
14/12/17,16749.78
15/12/17,17738.67
16/12/17,19650.01
17/12/17,19378.99
18/12/17,19039.01
19/12/17,17838.73
20/12/17,16496.89
21/12/17,15758.8
22/12/17,14210.57
23/12/17,15075.89
24/12/17,14221.94
25/12/17,14171.98
26/12/17,15790.88
27/12/17,15367.08
28/12/17,14450.01
29/12/17,14565.05
30/12/17,12839.99
31/12/17,13863.13
1/1/18,13480.01
2/1/18,14781.51
3/1/18,15098.14
4/1/18,15144.99
5/1/18,16960.01
6/1/18,17098.99
7/1/18,16174.22
8/1/18,14993.74
9/1/18,14480.99
10/1/18,14875.18
11/1/18,13308.06
12/1/18,13820
13/1/18,14187.95
14/1/18,13656.23
15/1/18,13590
16/1/18,11570.01
17/1/18,11200.01
18/1/18,11305.53
19/1/18,11498.99
20/1/18,12762.8
21/1/18,11518.17
22/1/18,10766.7
23/1/18,10824.94
24/1/18,11356.79
25/1/18,11118
26/1/18,11086.89
27/1/18,11319
28/1/18,11536
29/1/18,11123.01
30/1/18,9995
31/1/18,10099.99
1/2/18,9014.23
2/2/18,8787.52
3/2/18,9240
4/2/18,8167.91
5/2/18,6905.19
6/2/18,7688.46
7/2/18,7575.75
8/2/18,8218.1
9/2/18,8671.01
10/2/18,8547.49
11/2/18,8072.99
12/2/18,8872.28
13/2/18,8520.01
14/2/18,9472.98
15/2/18,10031.23
16/2/18,10167.49
17/2/18,11121.5
18/2/18,10380.04
19/2/18,11140
20/2/18,11235.57
21/2/18,10454.27
22/2/18,9830
23/2/18,10144.99
24/2/18,9688.62
25/2/18,9597.99
26/2/18,10300
27/2/18,10566.57
28/2/18,10307.27
1/3/18,10895.92
2/3/18,11000
3/3/18,11432.5
4/3/18,11469.9
5/3/18,11377.54
6/3/18,10700
7/3/18,9920
8/3/18,9304.9
9/3/18,9255
10/3/18,8795.44
11/3/18,9533.88
12/3/18,9120
13/3/18,9145.41
14/3/18,8207.03
15/3/18,8259.99
16/3/18,8275
17/3/18,7865.02
18/3/18,8192
19/3/18,8589
20/3/18,8900
21/3/18,8891.81
22/3/18,8715.09
23/3/18,8927.1
24/3/18,8531.34
25/3/18,8453
26/3/18,8145
27/3/18,7793.61
28/3/18,7942.72
29/3/18,7079.99
30/3/18,6848.01
31/3/18,6928.5
1/4/18,6816.01
2/4/18,7045.01
3/4/18,7424.9
4/4/18,6791.68
5/4/18,6785.85
6/4/18,6619.01
7/4/18,6894.01
8/4/18,7020.01
9/4/18,6771.13
10/4/18,6824.99
11/4/18,6942.99
12/4/18,7916
13/4/18,7893.19
14/4/18,8003.11
15/4/18,8355.25
16/4/18,8048.93
17/4/18,7892.1
18/4/18,8152.05
19/4/18,8274
20/4/18,8866.27
21/4/18,8915.42
22/4/18,8795.01
23/4/18,8931.3
24/4/18,9650
25/4/18,8865.98
26/4/18,9272.11
27/4/18,8922.55
28/4/18,9329.99
29/4/18,9389.01
30/4/18,9243.82
1/5/18,9072.29
2/5/18,9190.48
3/5/18,9725.74
4/5/18,9685
5/5/18,9800
6/5/18,9600
7/5/18,9356.25
8/5/18,9177.81
9/5/18,9300.08
10/5/18,9010.51
11/5/18,8403.33
12/5/18,8475
13/5/18,8686.1
14/5/18,8670
15/5/18,8477.46
16/5/18,8344
17/5/18,8059
18/5/18,8238.51
19/5/18,8235.6
20/5/18,8516.86
21/5/18,8393.44
22/5/18,7987.7
23/5/18,7505
24/5/18,7584.15
25/5/18,7459.11
26/5/18,7337.95
27/5/18,7346.64
28/5/18,7107.94
29/5/18,7460
30/5/18,7380.01
31/5/18,7485
1/6/18,7514.32
2/6/18,7636.42
3/6/18,7706.37
4/6/18,7487.37
5/6/18,7612.51
6/6/18,7655
7/6/18,7684.93
8/6/18,7618.83
9/6/18,7496.4
10/6/18,6770.31
11/6/18,6881
12/6/18,6544.99
13/6/18,6302.32
14/6/18,6638.49
15/6/18,6391.22
16/6/18,6484.29
17/6/18,6447.16
18/6/18,6709.02
19/6/18,6736.41
20/6/18,6756.1
21/6/18,6719.01
22/6/18,6059.82
23/6/18,6178.29
24/6/18,6149.99
25/6/18,6246.01
26/6/18,6074
27/6/18,6132.17
28/6/18,5851.66
29/6/18,6202.36
30/6/18,6383.19
1/7/18,6349.5
2/7/18,6611.79
3/7/18,6502.62
4/7/18,6587.47
5/7/18,6532.95
6/7/18,6600
7/7/18,6753.28
8/7/18,6701.97
9/7/18,6664.01
10/7/18,6303.7
11/7/18,6390.04
12/7/18,6249.75
13/7/18,6216.29
14/7/18,6248.65
15/7/18,6348.73
16/7/18,6728.81
17/7/18,7315.01
18/7/18,7378.99
19/7/18,7470.01
20/7/18,7334.46
21/7/18,7408
22/7/18,7397.8
23/7/18,7720.09
24/7/18,8385.5
25/7/18,8157.15
26/7/18,7931.99
27/7/18,8184.21
28/7/18,8228.9
29/7/18,8216.34
30/7/18,8170.01
31/7/18,7727.27
1/8/18,7603.99
2/8/18,7533.92
3/8/18,7414.08
4/8/18,7005
5/8/18,7030.01
6/8/18,6938
7/8/18,6718.22
8/8/18,6282.5
9/8/18,6546.45
10/8/18,6146.01
11/8/18,6235.56
12/8/18,6316.01
13/8/18,6253.67
14/8/18,6195.01
15/8/18,6269.01
16/8/18,6315.9
17/8/18,6585.49
18/8/18,6396.64
19/8/18,6489.53
20/8/18,6258.74
21/8/18,6475.89
22/8/18,6359.99
23/8/18,6526.36
24/8/18,6690.88
25/8/18,6737.52
26/8/18,6709.98
27/8/18,6911.9
28/8/18,7071.01
29/8/18,7030.9
30/8/18,6983
31/8/18,7015.01
1/9/18,7191.08
2/9/18,7295
3/9/18,7256.98
4/9/18,7360
5/9/18,6687.96
6/9/18,6495
7/9/18,6395.01
8/9/18,6188
9/9/18,6235.01
10/9/18,6300
11/9/18,6282.53
12/9/18,6326
13/9/18,6485.99
14/9/18,6478.04
15/9/18,6518.68
16/9/18,6498
17/9/18,6250.7
18/9/18,6335.7
19/9/18,6386.94
20/9/18,6493.11
21/9/18,6750
22/9/18,6707.33
23/9/18,6696.99
24/9/18,6582.09
25/9/18,6436.89
26/9/18,6455.66
27/9/18,6680.01
28/9/18,6620.01
29/9/18,6581
30/9/18,6605
1/10/18,6572.83
2/10/18,6498.46
3/10/18,6466.03
4/10/18,6547.45
5/10/18,6593.94
6/10/18,6552.43
7/10/18,6570
8/10/18,6608.07
9/10/18,6589.48
10/10/18,6524.56
11/10/18,6154.69
12/10/18,6188.01
13/10/18,6196
14/10/18,6183.49
15/10/18,6440.42
16/10/18,6457.11
17/10/18,6443.7
18/10/18,6394.96
19/10/18,6382.99
20/10/18,6414
21/10/18,6415.88
22/10/18,6407.65
23/10/18,6395.14
24/10/18,6415.98
25/10/18,6395.58
26/10/18,6404.87
27/10/18,6409.12
28/10/18,6403.62
29/10/18,6266
30/10/18,6267.63
31/10/18,6304.18
1/11/18,6344
2/11/18,6349.8
3/11/18,6331.96
4/11/18,6423.28
5/11/18,6404
6/11/18,6448.5
7/11/18,6503.12
8/11/18,6406.24
9/11/18,6334.89
10/11/18,6347.42
11/11/18,6357.6
12/11/18,6327.87
13/11/18,6259.34
14/11/18,5605.46
15/11/18,5579.52
16/11/18,5512.24
17/11/18,5504.17
18/11/18,5560
19/11/18,4733.5
20/11/18,4349.23
21/11/18,4545.11
22/11/18,4265.36
23/11/18,4283.8
24/11/18,3774.99
25/11/18,3936.69
26/11/18,3731.32
27/11/18,3775
28/11/18,4225.03
29/11/18,4248
30/11/18,3976
1/12/18,4142.01
2/12/18,4103.19
3/12/18,3833.47
4/12/18,3901.84
5/12/18,3694.39
6/12/18,3433.26
7/12/18,3380.01
8/12/18,3401
9/12/18,3531.18
10/12/18,3410.15
11/12/18,3349.36
12/12/18,3430.24
13/12/18,3265
14/12/18,3195.71
15/12/18,3183
16/12/18,3195
17/12/18,3496.82
18/12/18,3667.77
19/12/18,3682.51
20/12/18,4075.34
21/12/18,3839.06
22/12/18,3980.46
23/12/18,3944.93
24/12/18,4034
25/12/18,3780
26/12/18,3809.88
27/12/18,3589.89
28/12/18,3888.06
29/12/18,3729.31
30/12/18,3829
31/12/18,3691.86
1/1/19,3826.1
2/1/19,3890.79
3/1/19,3787.57
4/1/19,3820.25
5/1/19,3798.62
6/1/19,4040.99
7/1/19,4006.01
8/1/19,3993.86
9/1/19,4004.12
10/1/19,3626.12
11/1/19,3635.69
12/1/19,3619.41
13/1/19,3514.24
14/1/19,3664.19
15/1/19,3580.76
16/1/19,3609.71
17/1/19,3640.65
18/1/19,3607.85
19/1/19,3682.65
20/1/19,3536.19
21/1/19,3531.76
22/1/19,3577.03
23/1/19,3553.01
24/1/19,3568.97
25/1/19,3562.17
26/1/19,3556.07
27/1/19,3531.02
28/1/19,3429.95
29/1/19,3397.42
30/1/19,3437.55
31/1/19,3411.5
1/2/19,3437.5
2/2/19,3468.43
3/2/19,3414.78
4/2/19,3409.57
5/2/19,3428.4
6/2/19,3367.36
7/2/19,3359
8/2/19,3621.99
9/2/19,3623.73
10/2/19,3648.84
11/2/19,3590.36
12/2/19,3588.06
13/2/19,3576.68
14/2/19,3561.5
15/2/19,3566.59
16/2/19,3582.37
17/2/19,3625.08
18/2/19,3867
19/2/19,3888.01
20/2/19,3938.99
21/2/19,3897.71
22/2/19,3942.02
23/2/19,4110
24/2/19,3734.22
25/2/19,3818.79
26/2/19,3799.48
27/2/19,3799.91
28/2/19,3792.14
1/3/19,3806.17
